REGION_COUNTRY;1970_URBAN;1975_URBAN;1980_URBAN;1985_URBAN;1990_URBAN;1994_URBAN;2000_URBAN;2002_URBAN;2004_URBAN;2005_URBAN;2008_URBAN;1970_RURAL;1975_RURAL;1980_RURAL;1985_RURAL;1990_RURAL;1994_RURAL;2000_RURAL;2002_RURAL;2004_RURAL;2005_RURAL;2008_RURAL;1970_TOTAL;1975_TOTAL;1980_TOTAL;1985_TOTAL;1990_TOTAL;1994_TOTAL;2000_TOTAL;2002_TOTAL;2004_TOTAL;2005_TOTAL;2008_TOTAL
Tajikistan;NA;NA;NA;NA;NA;NA;NA;71;70;95;95;NA;NA;NA;NA;NA;NA;NA;47;NA;92;94;NA;NA;NA;NA;NA;NA;NA;53;51;93;94
Thailand;65;58;64;78;NA;NA;97;97;98;95;95;8;36;41;46;86;NA;96;100;NA;96;96;17;40;45;52;NA;NA;96;99.04;99;96;96
Turkey;NA;NA;56;NA;NA;NA;98;94;96;97;97;NA;NA;NA;NA;NA;NA;70;62;NA;73;75;NA;NA;NA;NA;NA;NA;91;83.12;88;89;90
Turkmenistan;NA;NA;NA;NA;NA;NA;NA;77;77;99;99;NA;NA;NA;NA;NA;NA;NA;50;NA;97;97;NA;NA;NA;NA;NA;NA;NA;62.15;62;98;98
United Arab Emirates;NA;NA;93;NA;NA;NA;NA;100;98;98;98;NA;NA;22;NA;NA;NA;NA;100;NA;95;95;NA;NA;80;NA;NA;NA;NA;100;98;97;97
Uzbekistan;NA;NA;NA;NA;NA;NA;100;73;78;99;100;NA;NA;NA;NA;NA;NA;100;48;NA;96;100;NA;NA;NA;NA;NA;NA;100;57.25;67;97;100
Vietnam;100;NA;NA;NA;23;43;87;84;92;88;94;NA;2;55;NA;10;15;70;26;23;61;67;26;NA;NA;NA;12.6;21;73;40.5;61;68;75
Yemen A R;NA;NA;60;83;NA;NA;99;76;86;89;94;NA;NA;NA;NA;NA;NA;31;14;NA;29;33;NA;NA;NA;NA;NA;NA;45;29.5;43;46;52
Yemen Dem;NA;NA;70;NA;NA;NA;99;NA;NA;NA;NA;NA;NA;15;NA;NA;NA;31;NA;NA;NA;NA;NA;NA;35;NA;NA;NA;45;NA;NA;NA;NA
OCEANIA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
American Samoa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Australia;NA;NA;NA;NA;NA;NA;100;100;100;100;100;NA;NA;NA;NA;NA;NA;100;100;NA;100;100;NA;NA;NA;NA;NA;NA;100;100;100;100;100
Cook Islands;NA;NA;100;100;100;NA;100;100;100;100;100;NA;NA;NA;NA;NA;NA;100;100;100;100;100;NA;NA;NA;NA;NA;NA;100;100;100;100;100
Fiji;100;100;85;NA;91;100;75;99;87;NA;NA;87;93;60;NA;65;85;12;98;91;NA;NA;91;96;70;NA;75.14;92;43;98;72;NA;NA
French Polyneisa;NA;NA;NA;NA;98;NA;99;99;97;99;99;NA;NA;NA;NA;95;NA;97;97;98;97;97;NA;NA;NA;NA;NA;NA;98;98;98;98;98
Guam;NA;NA;NA;NA;NA;NA;NA;99;98;99;99;NA;NA;NA;NA;NA;NA;NA;98;NA;98;98;NA;NA;NA;NA;NA;NA;NA;99;99;98;99
Kiribati;NA;NA;NA;NA;91;100;54;59;59;49;NA;NA;NA;NA;NA;49;100;44;22;91;22;NA;NA;NA;NA;NA;NA;100;48;39.02;40;35;NA
Marshall Islands;NA;NA;NA;NA;100;NA;NA;93;93;82;83;NA;NA;NA;NA;45;NA;NA;59;100;51;53;NA;NA;NA;NA;NA;NA;NA;82;82;72;73
Micronesia;NA;NA;NA;NA;99;100;NA;61;61;61;NA;NA;NA;NA;NA;46;100;NA;14;99;15;NA;NA;NA;NA;NA;NA;100;NA;27.63;28;26;NA
Nauru;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
New Caledonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
New Zealand;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Niue;NA;NA;NA;NA;0;100;100;100;100;100;100;NA;NA;NA;NA;NA;NA;100;100;0;100;100;NA;NA;NA;NA;NA;NA;100;100;100;100;100
Northern Mariana Islands;NA;NA;NA;NA;100;NA;NA;94;96;94;NA;NA;NA;NA;NA;71;NA;92;96;100;96;96;NA;NA;NA;NA;NA;NA;NA;94;95;94;NA
Palau;NA;NA;NA;NA;95;NA;100;96;96;96;96;NA;NA;NA;NA;100;NA;100;52;95;52;NA;NA;NA;NA;NA;NA;NA;100;83;80;79;NA
Papua New Guinea;100;100;96;99;57;82;92;67;67;73;71;5;5;3;35;NA;11;80;41;57;42;41;14;18;15;44;NA;22;82;45;44;46;45
Pitcairn;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Samoa;100;100;86;NA;100;NA;95;100;100;100;100;NA;NA;NA;NA;NA;NA;100;100;100;100;100;NA;NA;NA;NA;NA;NA;100;100;100;100;100
Solomon Islands;NA;NA;80;NA;73;NA;98;98;98;98;98;NA;NA;21;NA;2;NA;18;18;73;18;NA;NA;NA;NA;NA;12.65;NA;34;30.8;31;32;NA
Tokelau;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;41;NA;NA;100;NA;74;NA;82;92;NA;NA;NA;NA;NA;100;NA;NA;78;NA;NA
