REGION;COUNTRY;YEAR;TOTAL_FRESHWATER_WITHDRAWAL_KM3;PER_CAPTA_WITHDRAWAL_M3;DOMESTIC_USE_1;INDUSTRIAL_USE_1;AGRICULTURAL_USE_1;DOMESTIC_USE_2;INDUSTRIAL_USE_2;AGRICULTURAL_USE_2;POPULATTION_MILLIONS
AFRICA;Sierra Leone;2000;0.38;65.1168401744857;5.16513065418943;3;92;3.3633698728919;1.95350520523457;59.9074929605269;5.835664
AFRICA;Somalia;2003;3.298;352.403061910315;0.4548;0.0606;99.48;1.60272912556811;0.213556255517651;350.570565988382;9.358602
AFRICA;South Africa;2000;12.5;247.561970108457;31;6;63;76.7442107336216;14.8537182065074;155.964041168328;50.492408
AFRICA;Sudan;2000;37.32;864.040135914532;2.6448615700988;0.691987780211315;96.6631506496899;22.8526655050329;5.9790521566498;835.208418252849;43.192438
AFRICA;Swaziland;2000;1.04;865.293733942145;2;1;97;17.3058746788429;8.65293733942145;839.334921923881;1.201904
AFRICA;Tanzania;2000;5.18;115.009971342313;10;0;89;11.5009971342313;0;102.358874494658;45.039573
AFRICA;Togo;2000;0.17;25.0736353673951;53;2;45;13.2890267447194;0.501472707347903;11.2831359153278;6.78003
AFRICA;Tunisia;2000;2.64;254.483414573629;14;4;82;35.627678040308;10.1793365829452;208.676399950376;10.373957
AFRICA;Uganda;2002;0.3;8.87666906898921;43;17;40;3.81696769966536;1.50903374172816;3.55066762759568;33.796461
AFRICA;Zambia;2000;1.74;131.248751156818;17;7;75.9829975472306;22.3122876966591;9.18741258097727;99.726735372256;13.257269
AFRICA;Zimbabwe;2002;4.21;332.963172137768;14;7;79;46.6148440992876;23.3074220496438;263.040905988837;12.644041
NORTH AND CENTRAL AMERICA;Antigua and Barbuda;1990;0.005;56.4652738565782;60;20;20;33.8791643139469;11.2930547713156;11.2930547713156;0.08855
NORTH AND CENTRAL AMERICA;Barbados;2000;0.09;350.806074402071;33.3730547743246;44.0656566909589;22;117.074703361861;154.585000397046;77.1773363684555;0.256552
NORTH AND CENTRAL AMERICA;Belize;2000;0.15;479.343491154515;7;73;20;33.554044380816;349.920748542796;95.868698230903;0.312928
NORTH AND CENTRAL AMERICA;Canada;2006;45.082;1330.254840793;19.5586819616486;68.6694178376171;11.7719002007344;260.180313590137;913.478254929272;156.596272273589;33.889747
NORTH AND CENTRAL AMERICA;Costa Rica;2003;0.54;116.383649649006;;;;0;0;0;4.639827
NORTH AND CENTRAL AMERICA;Cuba;2000;8.2;731.858543167739;19.0282492989626;12.1886667119818;68.7830839890556;139.259868109713;89.203798629881;503.394876428145;11.204351
NORTH AND CENTRAL AMERICA;Dominica;1996;0.017;255.581447793731;NA;NA;NA;NA;NA;NA;0.066515
NORTH AND CENTRAL AMERICA;Dominican Republic;2000;3.39;331.524714433999;32.0853539218845;1.73419028677981;66.1804557913357;106.370877964666;5.74926939598892;219.404567073345;10.225482
NORTH AND CENTRAL AMERICA;El Salvador;2000;1.28;206.647394644539;24.7788741420117;15.7837152826885;59.4374105752999;51.2048978367165;32.6166364097876;122.825860398035;6.194126
NORTH AND CENTRAL AMERICA;Guatemala;2000;2.01;139.807792802903;6.45319106475984;13.357217861222;80.1895910740182;9.02206399299492;18.6744314716497;112.111297338259;14.376881
NORTH AND CENTRAL AMERICA;Haiti;2000;0.99;97.1714757549807;4.59578688667257;0.939871762265393;94.464341351062;4.46579394033362;0.913287261597626;91.7923945530494;10.188175
NORTH AND CENTRAL AMERICA;Honduras;2000;0.86;112.926336312488;8.15384301420677;12;80;9.20783618461541;13.5511603574985;90.3410690499901;7.615584
NORTH AND CENTRAL AMERICA;Jamaica;2000;0.41;150.188156455032;34.2016215399586;16.9436400510835;48.8547384089579;51.3667848685909;25.4473406290988;73.3740309573423;2.729909
NORTH AND CENTRAL AMERICA;Mexico;2008;79.8;721.224537316835;14.04;9.273;76.69;101.259925039284;66.8791513453902;553.107097668281;110.645154
NORTH AND CENTRAL AMERICA;Nicaragua;2000;1.3;223.280802230747;15;2;83.0455550160155;33.492120334612;4.46561604461494;185.424781456736;5.822265
NORTH AND CENTRAL AMERICA;Panama;2000;0.82;233.719778536259;67;5.22981133111622;28.3345850901727;156.592251619293;12.223103460949;66.2235295219193;3.508475
NORTH AND CENTRAL AMERICA;St. Lucia;1997;0.013;74.7375561968932;NA;NA;NA;NA;NA;NA;0.173942
NORTH AND CENTRAL AMERICA;St. Vincent and the Grenadines;1995;0.01;91.5047033417518;NA;NA;NA;NA;NA;NA;0.109284
NORTH AND CENTRAL AMERICA;Trinidad and Tobago;2000;0.31;230.701966548215;68;26;5.56552896842292;156.877337252786;59.9825113025359;12.8397847789623;1.343725
NORTH AND CENTRAL AMERICA;United States of America;2005;482.203179;1518.07558510212;12.6968063563722;46.0442993760215;41.2588942676062;192.747117383782;698.987267158713;626.341200559631;317.641087
SOUTH AMERICA;Argentina;2000;29.19;717.803382956441;17;9.48606857438705;74.0227110262015;122.026575102595;68.0913211365181;531.337523902145;40.665732
SOUTH AMERICA;Bolivia;2000;1.44;143.55738387404;13.2872559808803;7;81;19.0748370747986;10.0490168711828;116.281480937972;10.030832
SOUTH AMERICA;Brazil;2006;58.07;297.149901077278;27.95;17.46;54.59;83.0533973510992;51.8823727280928;162.214130998086;195.423252
SOUTH AMERICA;Chile;2000;12.55;732.43150685731;11.2926873329119;25.1816205709285;63.5256920961596;82.7111999971311;184.438122998742;465.282183861437;17.134708
SOUTH AMERICA;Colombia;2000;10.71;231.31651537717;50.2979520011983;3.77948380770718;45.9225641910945;116.347469875254;8.74257024323263;106.226475258684;46.300196
SOUTH AMERICA;Ecuador;2000;16.98;1232.6760198561;12.4601455054033;5.31039635090098;82.2294581436957;153.593225684285;65.4599823768699;1013.62281179495;13.774909
SOUTH AMERICA;Guyana;2000;1.64;2153.80816923679;1.68009523958023;0.881104460235618;98;36.1860285210375;18.9772998440645;2110.73200585205;0.761442
SOUTH AMERICA;Paraguay;2000;0.49;75.854598808897;19.6959963650955;8;71;14.9403190241582;6.06836790471176;53.8567651543169;6.459727
SOUTH AMERICA;Peru;2000;20.13;682.462642544172;8.36883353292061;10.0746056129306;81.5565608541488;57.1141624788928;68.7554196919095;556.59306037337;29.49612
SOUTH AMERICA;Suriname;2000;0.67;1277.78466467688;4.4925391480895;2.88785395474638;92.6196068971641;57.4049762888931;36.9005549720141;1183.47913341598;0.524345
SOUTH AMERICA;Uruguay;2000;3.15;934.10220323573;2.40006967748195;1.14441089585116;96.4555194266669;22.4191037365516;10.6899673922154;900.993132106963;3.372222
SOUTH AMERICA;Venezuela;2000;8.37;288.187861300037;6;7;47.4752506633664;17.2912716780022;20.1731502910026;136.817909533587;29.043555
ASIA;Afghanistan;2000;23.26;798.832619117672;1.78422716340879;0.00859816925624507;98.207174667335;14.2529885804674;0.0686849806658329;784.510945556538;29.117489
ASIA;Armenia;2006;2.827;914.774530890871;29.9486102233175;4.37718739415635;65.6742023825262;273.962258678688;40.0413954511081;600.770876761075;3.090379
ASIA;Azerbaijan;2005;12.211;1366.8120002758;4;19;76;54.6724800110321;259.694280052403;1038.77712020961;8.933928
ASIA;Bahrain;2003;0.357;442.307382568629;50;6;45;221.153691284314;26.5384429541177;199.038322155883;0.807131
ASIA;Bangladesh;2008;35.87;252.926244535326;10.04;2.147;87.82;25.3937949513468;5.43032647017346;222.119827950924;141.82
ASIA;Bhutan;2000;0.43;606.929726006515;5;1.09540486815804;94;30.3464863003258;6.6483377649736;570.513942446124;0.708484
ASIA;Brunei;1994;0.09;221.105774545812;NA;NA;NA;NA;NA;NA;0.407045
