REGION_COUNTRY;1970_URBAN;1975_URBAN;1980_URBAN;1985_URBAN;1990_URBAN;1994_URBAN;2000_URBAN;2002_URBAN;2004_URBAN;2005_URBAN;2008_URBAN;1970_RURAL;1975_RURAL;1980_RURAL;1985_RURAL;1990_RURAL;1994_RURAL;2000_RURAL;2002_RURAL;2004_RURAL;2005_RURAL;2008_RURAL;1970_TOTAL;1975_TOTAL;1980_TOTAL;1985_TOTAL;1990_TOTAL;1994_TOTAL;2000_TOTAL;2002_TOTAL;2004_TOTAL;2005_TOTAL;2008_TOTAL
Suriname;NA;NA;100;71;NA;NA;94;98;98;97;97;NA;NA;79;94;NA;NA;96;73;73;78;81;NA;NA;88;83;NA;78;95;91.525;92;92;93
Uruguay;100;100;96;95;100;NA;98;98;100;100;100;59;87;2;27;NA;NA;93;93;100;95;100;92;98;81;85;89;95;98;97.595;100;100;100
Venezuela;92;NA;93;93;NA;80;88;85;85;94;NA;38;NA;53;65;36;75;58;70;70;75;NA;75;NA;86;89;NA;75;84;83.035;83;93;NA
ASIA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afghanistan;18;40;28;38;40;39;19;19;63;66;78;1;5;8;17;19;5;11;11;31;33;39;3;9;8;17;22.78;33;13;12.752;39;41;48
Armenia;NA;NA;NA;NA;NA;NA;NA;99;99;99;98;NA;NA;NA;NA;NA;NA;NA;80;80;89;93;NA;NA;NA;NA;NA;89;NA;92.35;92;95;96
Azerbaijan;NA;NA;NA;NA;NA;NA;NA;95;95;88;88;NA;NA;NA;NA;NA;NA;NA;59;59;66;71;NA;NA;NA;NA;NA;66;NA;77.18;77;77;80
Bahrain;100;100;NA;100;100;NA;NA;100;100;100;100;94;100;NA;100;0;NA;NA;NA;NA;NA;NA;99;100;NA;100;NA;NA;NA;NA;NA;NA;NA
Bangladesh;13;22;26;24;39;100;99;82;82;85;85;47;61;40;49;89;97;97;72;72;78;78;45;56;39;46;81;78;97;75;74;80;80
Bhutan;NA;NA;50;NA;60;75;86;86;86;99;99;NA;NA;5;19;30;54;60;60;60;88;88;NA;NA;7;NA;31.5;88;62;62.002;62;91;92
Brunei Darus;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;95;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cambodia;NA;NA;NA;NA;NA;NA;53;58;64;75;81;NA;NA;NA;NA;NA;NA;25;29;35;51;56;NA;NA;NA;NA;NA;51;30;33.901;41;56;61
China;NA;NA;NA;NA;87;93;94;92;93;98;98;NA;NA;NA;NA;68;89;66;68;67;78;82;NA;NA;NA;NA;72.94;78;75;76.592;77;86;89
Cyprus;100;94;NA;100;100;NA;100;100;100;100;100;NA;NA;NA;NA;NA;NA;100;100;100;100;100;NA;NA;NA;NA;NA;100;100;100;100;100;100
East Timor;NA;NA;NA;NA;NA;NA;NA;73;77;80;86;NA;NA;NA;NA;NA;NA;NA;51;56;57;63;NA;NA;NA;NA;NA;57;NA;52;58;63;69
Gaza Strip;NA;NA;NA;NA;NA;NA;NA;NA;94;91;91;NA;NA;NA;NA;NA;NA;NA;NA;88;91;91;NA;NA;NA;NA;NA;91;NA;NA;92;91;91
Georgia;NA;NA;NA;NA;NA;NA;NA;90;96;99;100;NA;NA;NA;NA;NA;NA;NA;61;67;92;96;NA;NA;NA;NA;NA;92;NA;76.283;82;96;98
Hong Kong;NA;NA;100;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;95;NA;96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;99.76;NA;NA;NA;NA;NA;NA
India;60;80;77;76;86;85;92;96;95;95;96;6;18;31;50;69;79;86;82;83;81;84;17;31;42;56;73.42;81;88;85.878;86;85;88
Indonesia;10;41;35;43;35;78;91;89;87;90;89;1;4;19;36;33;54;65;69;69;70;71;3;11;23;38;33.58;70;76;78;77;80;80
Iran;68;76;82;NA;100;89;99;98;99;98;98;11;30;50;NA;75;77;89;83;84;NA;NA;35;51;66;NA;89.25;NA;95;92.66;94;NA;NA
Iraq;83;100;NA;100;93;NA;96;97;97;93;91;7;11;54;54;41;NA;48;50;50;53;55;51;66;NA;86;78.44;53;85;81;81;80;79
Israel;NA;NA;NA;NA;NA;NA;NA;100;100;100;100;NA;NA;NA;NA;NA;NA;100;100;100;100;100;NA;NA;NA;NA;NA;100;100;100;100;100;100
Japan;NA;NA;NA;NA;NA;NA;NA;100;100;100;100;NA;NA;NA;NA;NA;NA;NA;100;100;100;100;NA;NA;NA;NA;NA;100;NA;100;100;100;100
Jordan;98;NA;100;100;100;NA;100;91;99;98;98;59;NA;65;88;97;NA;84;91;91;91;91;77;NA;86;96;99.04;91;96;91;97;96;96
Kazakhstan;NA;NA;NA;NA;NA;NA;98;96;97;99;99;NA;NA;NA;NA;NA;NA;82;72;73;91;90;NA;NA;NA;NA;NA;91;91;86;86;96;95
Korea DPR;NA;NA;NA;NA;NA;NA;100;100;100;100;100;NA;NA;NA;NA;NA;NA;100;100;100;100;100;NA;NA;NA;NA;NA;100;100;100;100;100;100
Korea Rep;84;95;86;90;100;NA;97;97;97;99;100;38;33;61;48;76;NA;71;71;71;83;88;58;66;75;75;93.28;83;92;91.696;92;96;98
Kuwait;60;100;86;97;NA;NA;NA;NA;NA;99;99;NA;NA;100;NA;NA;NA;NA;NA;NA;100;100;51;89;87;NA;NA;100;NA;NA;NA;99;99
Kyrgyzstan;NA;NA;NA;NA;NA;NA;98;98;98;99;99;NA;NA;NA;NA;NA;NA;66;66;66;80;85;NA;NA;NA;NA;NA;80;77;76;77;87;90
Laos;97;100;28;NA;47;40;59;66;79;74;72;39;32;20;NA;25;39;100;38;43;47;51;48;41;21;NA;29.18;47;90;43.404;51;54;57
Lebanon;NA;NA;NA;NA;NA;100;100;100;100;100;100;NA;NA;NA;NA;NA;NA;100;100;100;100;100;NA;NA;NA;NA;NA;100;100;100;100;100;100
Macau;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Malaysia;100;100;90;96;96;NA;NA;96;100;100;100;1;6;49;76;66;NA;94;94;96;99;99;29;34;63;84;78.9;99;NA;95.236;99;100;100
Maldives;NA;NA;11;58;77;98;100;99;98;99;99;NA;NA;3;12;68;86;100;78;76;86;86;NA;NA;2;21;NA;86;100;83.775;83;90;91
Mongolia;NA;NA;NA;NA;100;NA;77;87;87;94;97;NA;NA;NA;NA;58;NA;30;30;30;45;49;NA;NA;NA;NA;82.36;45;60;62.262;62;73;76
Myanmar (Burma);35;31;38;36;79;36;88;95;80;75;75;13;14;15;24;72;39;60;74;77;69;69;18;17;21;27;73.75;69;68;79.88;78;71;71
Nepal;53;85;83;70;66;66;85;93;96;93;93;NA;5;7;25;34;41;80;82;89;85;87;2;8;11;28;37.52;85;81;83.507;90;86;88
Oman;NA;100;NA;90;NA;NA;41;81;NA;90;92;NA;48;NA;49;NA;NA;30;72;NA;76;77;NA;52;NA;53;NA;76;39;78.84;NA;86;88
